epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.664,1.25567,2.86263,1.45032,0.96712,1,0.995,0.63097,1.2569,2.61958,1.17182,0.000208062,0.000208062,0.000208062
2,270.072,1.03668,1.3997,1.2193,0.09375,1,0.995,0.74189,0.96673,2.82048,1.08373,0.000402654,0.000402654,0.000402654
3,390.894,1.00139,1.03665,1.18737,0.98411,1,0.995,0.56641,1.46468,1.09312,1.64663,0.000583497,0.000583497,0.000583497
4,513.725,0.96508,0.84786,1.16089,0.98521,1,0.995,0.74644,1.1206,0.52531,1.10019,0.000563125,0.000563125,0.000563125
5,635.637,0.91698,0.72077,1.14211,1,0.99247,0.995,0.52688,1.43022,0.94394,1.33603,0.0005425,0.0005425,0.0005425
6,758.204,0.87462,0.64405,1.11464,0.98536,1,0.995,0.796,0.95835,0.39808,1.01662,0.000521875,0.000521875,0.000521875
7,878.214,0.84549,0.59128,1.10096,0.98311,1,0.995,0.81546,0.87838,0.39942,1.051,0.00050125,0.00050125,0.00050125
8,998.831,0.8193,0.54748,1.08374,0.98408,1,0.995,0.78995,0.74898,0.36055,0.9613,0.000480625,0.000480625,0.000480625
9,1119.97,0.78708,0.5084,1.07211,0.98532,1,0.995,0.64414,1.1975,0.43892,1.05531,0.00046,0.00046,0.00046
10,1240.08,0.78066,0.49048,1.06556,0.98254,1,0.995,0.8955,0.46531,0.35047,0.86015,0.000439375,0.000439375,0.000439375
11,1361.34,0.75446,0.46787,1.05157,0.98461,1,0.995,0.74122,1.25998,0.3854,1.20729,0.00041875,0.00041875,0.00041875
12,1481.51,0.74142,0.44682,1.05007,1,1,0.995,0.87372,0.66541,0.2546,0.87235,0.000398125,0.000398125,0.000398125
13,1605.11,0.73028,0.43236,1.04157,0.98474,1,0.995,0.81828,0.69069,0.3801,0.88147,0.0003775,0.0003775,0.0003775
14,1727.72,0.71988,0.4256,1.03945,1,1,0.995,0.90728,0.56158,0.23752,0.90705,0.000356875,0.000356875,0.000356875
15,1850.5,0.70297,0.40851,1.02595,1,1,0.995,0.8955,0.63932,0.27434,0.88324,0.00033625,0.00033625,0.00033625
16,1971.98,0.68015,0.39558,1.02221,0.98567,1,0.995,0.85991,0.69753,0.31017,0.89979,0.000315625,0.000315625,0.000315625
17,2094.26,0.67528,0.38845,1.0134,1,1,0.995,0.87372,0.70865,0.31447,0.92067,0.000295,0.000295,0.000295
18,2215.44,0.65916,0.37813,1.00954,0.98506,1,0.995,0.77987,0.9074,0.31118,1.05513,0.000274375,0.000274375,0.000274375
19,2338.22,0.65369,0.37298,1.00779,1,1,0.995,0.91772,0.43656,0.28275,0.88203,0.00025375,0.00025375,0.00025375
20,2460.37,0.64244,0.36308,1.00165,0.98618,1,0.995,0.87092,0.40598,0.22009,0.82112,0.000233125,0.000233125,0.000233125
21,2580.15,0.56103,0.27972,0.96795,0.98567,1,0.995,0.85893,0.50178,0.2214,0.83598,0.0002125,0.0002125,0.0002125
22,2696.68,0.54333,0.27082,0.95947,0.98467,1,0.995,0.80351,0.80885,0.29642,0.98919,0.000191875,0.000191875,0.000191875
23,2813.46,0.52879,0.26008,0.95164,1,1,0.995,0.95105,0.41828,0.19795,0.83105,0.00017125,0.00017125,0.00017125
24,2930.59,0.51844,0.25616,0.94914,1,1,0.995,0.8238,0.64351,0.27346,0.85564,0.000150625,0.000150625,0.000150625
25,3046.98,0.50089,0.2477,0.93594,1,1,0.995,0.85155,0.60861,0.25328,0.84512,0.00013,0.00013,0.00013
26,3163.54,0.49353,0.24409,0.93345,0.9856,1,0.995,0.81546,0.59609,0.25541,0.84996,0.000109375,0.000109375,0.000109375
27,3280.22,0.47999,0.23345,0.9292,1,1,0.995,0.91828,0.50321,0.23233,0.83887,8.875e-05,8.875e-05,8.875e-05
28,3397.98,0.46543,0.22723,0.92245,1,1,0.995,0.90711,0.38132,0.19341,0.81219,6.8125e-05,6.8125e-05,6.8125e-05
29,3515.5,0.45845,0.22062,0.91698,1,1,0.995,0.90711,0.45225,0.17786,0.82241,4.75e-05,4.75e-05,4.75e-05
30,3634.4,0.44621,0.21756,0.9124,1,1,0.995,0.86272,0.48803,0.21693,0.81954,2.6875e-05,2.6875e-05,2.6875e-05
